Character,Count
\uf021,68317
\uf031,40325
\uf030,33813
\uf020,23276
\uf04a,19203
\uf061,13409
\uf027,12195
\uf041,7433
\uf05c,7080
\uf053,6774
\uf03f,6757
\uf03c,6711
\uf056,6565
\uf071,6151
\uf040,6013
\uf043,5194
\uf06d,4821
\uf04f,4497
\uf04d,4488
\uf033,4163
\uf073,4153
\uf076,3966
\uf060,3614
\uf091,3575
\uf05f,3271
\uf04e,3088
\uf062,3035
\uf06f,2867
\uf032,2586
\uf022,2488
\uf0d7,2445
\uf029,2432
\uf034,2417
\uf0f8,2359
\uf050,2281
\uf042,2262
\uf063,2192
\uf070,2182
\uf06e,2162
\uf0d0,2129
\uf06b,2092
\uf07e,1764
\uf03a,1710
\uf077,1687
\uf02c,1571
\uf055,1509
\uf02f,1469
\uf023,1385
\uf07a,1378
\uf04b,1325
\uf048,1297
\uf068,1203
\uf078,1090
\uf02b,911
\uf07d,851
\uf072,780
\uf05b,735
\uf058,729
\uf07c,705
\uf039,692
\uf05d,654
\uf07b,633
\uf051,561
\uf024,542
\uf06a,524
\uf065,520
\uf054,437
\uf067,410
\uf03b,373
\uf047,330
\uf059,293
\uf05e,278
\uf0ce,243
\uf02e,235
\uf035,235
\uf03d,235
\uf03e,218
\uf057,208
\uf079,166
\uf02d,143
\uf049,141
\uf064,133
\uf044,130
\uf074,125
\uf046,116
\uf05a,105
\uf075,98
\uf036,92
\uf045,60
\uf037,41
\uf04c,41
\uf06c,32
\uf066,31
\uf02a,27
\uf038,25
\uf026,13
\uf069,11
\uf0a9,7
\uf0e4,3
\uf052,2
\uf025,2
\ufb02,2
\uf028,2
